Te_requested_eV,ne_requested_cm-3,DeltaTe_requested_eV,Te_old_grid_eV,Te_new_grid_eV,DeltaTe_actual_eV,ne_grid_cm-3,ti_old,ti_new,ni,ratio_QSS_old,ratio_QSS_new,initial_ratio_error_percent_signed,peak_ratio_error_percent_abs,peak_ratio_error_percent_signed,t_peak_ratio_ns,peak_Halpha_error_percent_abs,peak_Hbeta_error_percent_abs,last_t_ratio_abs_error_gt_1pct_us,last_t_ratio_abs_error_gt_5pct_us,last_t_ratio_abs_error_gt_10pct_us,censored_gt_1pct,censored_gt_5pct,censored_gt_10pct,tau_slow_us,tau_fast_ns,M_tau_slow_over_tau_fast,last_t_ratio_abs_error_gt_10pct_display
1.599858719606058,19306977288832.457,0.6,1.599858719606058,2.2229964825261948,0.6231377629201367,19306977288832.457,10,17,3,5.588436378267458,5.112911940460719,9.30046211130109,160.32403287984818,160.32403287984818,85.47984528840405,977.4863064839302,313.90197230896496,1000.0,1000.0,1000.0,True,True,True,1114.714883570313,7.354301342675066,151573.18576299254,>1e+03 us (censored at t_max)
1.599858719606058,51794746792312.02,0.6,1.599858719606058,2.2229964825261948,0.6231377629201367,51794746792312.02,10,17,4,5.187485736701233,4.70084942055017,10.352093262627966,207.45819269535156,207.45819269535156,53.884384426082235,712.7642992220659,164.34970677971177,1000.0,1000.0,1000.0,True,True,True,333.1106295581392,4.754354541663807,70064.32243094048,>1e+03 us (censored at t_max)
1.599858719606058,138949549437313.6,0.6,1.599858719606058,2.2229964825261948,0.6231377629201367,138949549437313.6,10,17,5,4.828691971069072,4.342268215477211,11.202066096656484,195.80885711672244,195.80885711672244,28.242413260784357,435.2835870442297,90.26665853444132,548.8819609789678,397.3730381485613,330.3985069871855,False,False,False,96.165822270469,2.529628515241355,38015.78836222666,330 us
1.599858719606058,372759372031493.8,0.6,1.599858719606058,2.2229964825261948,0.6231377629201367,372759372031493.8,10,17,6,4.622127356325193,4.1370811972344885,11.724356761838328,144.02515750284908,144.02515750284908,17.00046975206718,241.14374563147183,89.95712298145133,137.49172258064206,95.05082962189512,75.46672630843871,False,False,False,26.072173508848874,1.8210890893681289,14316.802874204936,75.5 us
1.599858719606058,1000000000000000.0,0.6,1.599858719606058,2.2229964825261948,0.6231377629201367,1000000000000000.0,10,17,7,4.524532958342306,4.038932811022169,12.02298156569832,91.7338929055868,91.7338929055868,11.752771174629451,130.55407894935942,90.0383793830815,29.988442312310248,19.796717529513284,15.71783717773161,False,False,False,6.646058869761605,1.416715366419682,4691.174407571721,15.7 us
1.676832936811008,1000000000000.0,0.6,1.676832936811008,2.329951810515372,0.6531188737043641,1000000000000.0,11,18,0,5.2401036883343615,4.809219424693725,8.95954677027576,68.48562714119552,68.48562714119552,12.723147014995575,1135.3963046302667,910.87781501441,1000.0,1000.0,1000.0,True,True,True,25358.298519091073,33.09028513255663,766336.6579498505,>1e+03 us (censored at t_max)
1.676832936811008,2682695795279.7275,0.6,1.676832936811008,2.329951810515372,0.6531188737043641,2682695795279.7275,11,18,1,5.514394697517174,5.092109729289297,8.292927503092502,79.9214076261566,79.9214076261566,11.752771174629451,1095.2549350666577,717.7589624705926,1000.0,1000.0,1000.0,True,True,True,8378.948888213816,19.743775184988145,424384.3342880348,>1e+03 us (censored at t_max)
1.676832936811008,7196856730011.528,0.6,1.676832936811008,2.329951810515372,0.6531188737043641,7196856730011.528,11,18,2,5.670263939784431,5.2468001698447955,8.070895712274709,99.40825337741342,99.40825337741342,17.00046975206718,1013.2878117682026,477.9778958376105,1000.0,1000.0,1000.0,True,True,True,2701.582934736992,11.179774805402596,241649.13710350048,>1e+03 us (censored at t_max)
1.676832936811008,19306977288832.457,0.6,1.676832936811008,2.329951810515372,0.6531188737043641,19306977288832.457,11,18,3,5.504391487838388,5.063309812990089,8.711330950294565,156.06511658204832,156.06511658204832,81.62508514287221,860.5710900265349,275.12767917158556,1000.0,1000.0,1000.0,True,True,True,842.7149545891934,7.286079280274924,115660.9641718578,>1e+03 us (censored at t_max)
1.676832936811008,51794746792312.02,0.6,1.676832936811008,2.329951810515372,0.6531188737043641,51794746792312.02,11,18,4,5.102472356807326,4.648913400493889,9.756235860733549,197.51148686238895,197.51148686238895,51.45443878390925,624.8634933939536,143.64234545798922,1000.0,1000.0,954.9044557518076,True,True,False,253.33567962950724,4.681496940638104,54114.24654161511,955 us
